UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,33,9,1045
Rondônia,Masculino,59,1,2000
Rondônia,Masculino,46,16,8000
Rondônia,Masculino,20,16,900
Rondônia,Masculino,59,5,2000
Rondônia,Masculino,33,12,2500
Rondônia,Masculino,65,8,1800
Rondônia,Masculino,27,12,3800
Rondônia,Masculino,43,12,2500
Rondônia,Masculino,65,7,4500
Rondônia,Masculino,50,3,1100
Rondônia,Masculino,40,5,700
Rondônia,Masculino,44,12,1600
Rondônia,Masculino,28,12,1600
Rondônia,Masculino,22,15,3500
Rondônia,Masculino,67,9,2000
Rondônia,Masculino,40,8,1300
Rondônia,Masculino,59,13,1500
Rondônia,Masculino,58,6,1000
Rondônia,Masculino,50,16,9000
Rondônia,Masculino,48,16,3000
Rondônia,Masculino,54,4,2600
Rondônia,Masculino,46,5,1000
Rondônia,Masculino,61,5,2000
Rondônia,Masculino,26,12,4000
Rondônia,Masculino,30,12,4500
Rondônia,Masculino,37,12,3000
Rondônia,Masculino,26,12,1400
Rondônia,Masculino,35,12,1500
Rondônia,Masculino,41,12,1800
Rondônia,Masculino,26,13,1000
Rondônia,Masculino,27,11,1500
Rondônia,Masculino,30,12,2000
Rondônia,Masculino,26,12,1200
Rondônia,Masculino,57,16,7000
Rondônia,Masculino,24,14,3000
Rondônia,Masculino,30,16,6000
Rondônia,Masculino,37,9,1200
Rondônia,Masculino,35,12,3600
Rondônia,Masculino,35,16,10000
Rondônia,Masculino,35,5,1222
Rondônia,Masculino,50,8,1150
Rondônia,Masculino,58,9,2000
Rondônia,Masculino,36,10,900
Rondônia,Masculino,34,12,1500
Rondônia,Masculino,48,12,1200
Rondônia,Masculino,62,9,1600
Rondônia,Masculino,34,1,1200
Rondônia,Masculino,34,16,3000
Rondônia,Masculino,63,1,600
Rondônia,Masculino,42,12,1007
Rondônia,Masculino,65,8,1800
Rondônia,Masculino,48,16,3000
Rondônia,Masculino,42,16,1400
Rondônia,Masculino,54,4,5000
Rondônia,Masculino,46,15,3000
Rondônia,Masculino,50,16,900
Rondônia,Masculino,24,12,1500
Rondônia,Masculino,46,16,3000
Rondônia,Masculino,38,12,2000
Rondônia,Masculino,49,12,2800
Rondônia,Masculino,62,1,1550
Rondônia,Masculino,40,6,2000
Rondônia,Masculino,55,6,1000
Rondônia,Masculino,44,12,2200
Rondônia,Masculino,41,12,1300
Rondônia,Masculino,30,7,3300
Rondônia,Masculino,21,11,900
Rondônia,Masculino,41,5,1600
Rondônia,Masculino,51,3,1800
Rondônia,Masculino,23,12,1300
Rondônia,Masculino,21,12,1200
Rondônia,Masculino,49,12,5000
Rondônia,Masculino,30,11,1500
Rondônia,Masculino,58,8,2000
Rondônia,Masculino,64,7,2500
Rondônia,Masculino,43,12,4000
Rondônia,Masculino,34,12,3000
Rondônia,Masculino,70,8,1100
Rondônia,Masculino,49,12,3000
Rondônia,Masculino,52,7,2500
Rondônia,Masculino,56,12,3000
Rondônia,Masculino,25,12,1500
Rondônia,Masculino,22,9,1400
Rondônia,Masculino,32,11,1200
Rondônia,Masculino,28,12,1600
Rondônia,Masculino,35,11,1680
Rondônia,Masculino,26,12,1800
Rondônia,Masculino,25,12,1300
Rondônia,Masculino,43,13,1800
Rondônia,Masculino,53,6,1800
Rondônia,Masculino,23,16,1050
Rondônia,Masculino,22,6,1200
Rondônia,Masculino,30,12,2365
Rondônia,Masculino,51,6,2200
Rondônia,Masculino,45,16,1400
Rondônia,Masculino,31,6,1500
Rondônia,Masculino,27,6,1500
Rondônia,Masculino,42,6,2500
Rondônia,Masculino,56,16,2800
Rondônia,Masculino,30,12,2000
Rondônia,Masculino,37,5,1500
Rondônia,Masculino,33,12,788
Rondônia,Masculino,55,12,3000
Rondônia,Masculino,38,2,1700
Rondônia,Masculino,37,12,1800
Rondônia,Masculino,40,16,5500
Rondônia,Masculino,43,12,3500
Rondônia,Masculino,54,9,780
Rondônia,Masculino,36,12,3000
Rondônia,Masculino,40,12,2500
Rondônia,Masculino,40,12,2000
Rondônia,Masculino,43,10,1150
Rondônia,Masculino,36,12,1900
Rondônia,Masculino,46,12,1400
Rondônia,Masculino,32,10,1300
Rondônia,Masculino,26,14,960
Rondônia,Masculino,35,12,900
Rondônia,Masculino,35,12,2400
Rondônia,Masculino,36,7,2000
Rondônia,Masculino,22,10,1200
Rondônia,Masculino,35,12,1900
Rondônia,Masculino,28,11,1600
Rondônia,Masculino,36,16,5000
Rondônia,Masculino,54,9,5000
Rondônia,Masculino,66,16,5000
Rondônia,Masculino,29,12,3000
Rondônia,Masculino,51,12,3000
Rondônia,Masculino,31,12,1400
Rondônia,Masculino,41,8,1200
Rondônia,Masculino,45,4,2500
Rondônia,Masculino,25,12,1300
Rondônia,Masculino,51,5,1200
Rondônia,Masculino,30,12,2100
Rondônia,Masculino,77,1,0
Rondônia,Masculino,20,9,1300
Rondônia,Masculino,58,1,700
Rondônia,Masculino,33,6,800
Rondônia,Masculino,22,10,2000
Rondônia,Masculino,30,12,788
Rondônia,Masculino,59,9,2000
Rondônia,Masculino,75,1,300
Rondônia,Masculino,51,12,3800
Rondônia,Masculino,36,12,2000
Rondônia,Masculino,35,14,5000
Rondônia,Masculino,46,12,3800
Rondônia,Masculino,29,12,5000
Rondônia,Masculino,62,3,900
Rondônia,Masculino,47,12,3000
Rondônia,Masculino,45,6,500
Rondônia,Masculino,57,4,1500
Rondônia,Masculino,38,15,5000
Rondônia,Masculino,41,12,3000
Rondônia,Masculino,40,16,1200
Rondônia,Masculino,39,16,1200
Rondônia,Masculino,35,5,1200
Rondônia,Masculino,42,1,3500
Rondônia,Masculino,55,4,1000
Rondônia,Masculino,30,15,3500
Rondônia,Masculino,29,16,6000
Rondônia,Masculino,58,12,10000
Rondônia,Masculino,26,8,1400
Rondônia,Masculino,50,2,1600
Rondônia,Masculino,56,12,1400
Rondônia,Masculino,53,5,788
Rondônia,Masculino,59,9,5000
Rondônia,Masculino,33,16,50000
Rondônia,Masculino,59,5,3000
Rondônia,Masculino,44,5,920
Rondônia,Masculino,42,5,788
Rondônia,Masculino,28,15,2000
Rondônia,Masculino,35,9,788
Rondônia,Masculino,45,5,1000
Rondônia,Masculino,46,12,3000
Rondônia,Masculino,34,11,2600
Rondônia,Masculino,42,8,1200
Rondônia,Masculino,33,1,1200
Rondônia,Masculino,55,7,2000
Rondônia,Masculino,57,12,1000
Rondônia,Masculino,54,1,1500
Rondônia,Masculino,33,8,1000
Rondônia,Masculino,65,4,600
Rondônia,Masculino,47,11,1000
Rondônia,Masculino,43,7,788
Rondônia,Masculino,70,1,1000
Rondônia,Masculino,51,5,788
Rondônia,Masculino,49,4,1100
Rondônia,Masculino,66,1,500
Rondônia,Masculino,23,9,788
Rondônia,Masculino,49,16,400
Rondônia,Masculino,41,5,2200
Rondônia,Masculino,57,9,3000
Rondônia,Masculino,45,1,350
Rondônia,Masculino,38,6,1200
Rondônia,Masculino,34,5,300
Rondônia,Masculino,43,5,700
Rondônia,Masculino,35,16,1900
Rondônia,Masculino,39,1,800
Rondônia,Masculino,31,9,1100
Rondônia,Masculino,37,12,1500
Rondônia,Masculino,63,5,3100
Rondônia,Masculino,53,12,2000
Rondônia,Masculino,42,5,500
Rondônia,Masculino,30,16,4000
Rondônia,Masculino,24,12,912
Rondônia,Masculino,30,10,1500
Rondônia,Masculino,33,16,3000
Rondônia,Masculino,42,5,500
Rondônia,Masculino,35,10,3000
Rondônia,Masculino,37,2,550
Rondônia,Masculino,28,6,1380
Rondônia,Masculino,34,9,1200
Rondônia,Masculino,48,12,10000
Rondônia,Masculino,45,6,2000
Rondônia,Masculino,30,3,700
Rondônia,Masculino,27,16,2800
Rondônia,Masculino,42,9,1200
Rondônia,Masculino,74,1,400
Rondônia,Masculino,29,12,3000
Rondônia,Masculino,37,16,1500
Rondônia,Masculino,52,9,1200
Rondônia,Masculino,36,5,3000
Rondônia,Masculino,33,12,900
Rondônia,Masculino,54,13,833
Rondônia,Masculino,26,12,1500
Rondônia,Masculino,36,5,2000
Rondônia,Masculino,43,6,1000
Rondônia,Masculino,45,5,2000
Rondônia,Masculino,33,9,6000
Rondônia,Masculino,44,9,1500
Rondônia,Masculino,49,2,1950
Rondônia,Masculino,62,3,700
Rondônia,Masculino,46,5,1500
Rondônia,Masculino,26,14,1000
Rondônia,Masculino,44,12,4000
Rondônia,Masculino,56,16,7400
Rondônia,Masculino,36,16,2000
Rondônia,Masculino,47,2,2500
Rondônia,Masculino,56,1,2000
Rondônia,Masculino,65,12,2160
Rondônia,Masculino,34,16,3000
Rondônia,Masculino,23,16,2000
Rondônia,Masculino,55,16,900
Rondônia,Masculino,55,7,1576
Rondônia,Masculino,23,12,1500
Rondônia,Masculino,55,5,1500
Rondônia,Masculino,48,12,2000
Rondônia,Masculino,74,12,915
Rondônia,Masculino,28,12,3000
Rondônia,Masculino,48,5,2000
Rondônia,Masculino,58,4,1500
Rondônia,Masculino,40,12,950
Rondônia,Masculino,52,6,2500
Rondônia,Masculino,25,3,500
Rondônia,Masculino,33,1,600
